source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
halenka	blouse	Bluse	blouse	блузка	blusa	chemisier	halenka	#VALUE!	halenka	halenka	halenka	halenka
halouzka	Halouzka	Halouzka	Halouzka	Халузка	Halouzka	Halouzka	Halouzka	#VALUE!	Halouzka	Haluska	Halouozka	Halouzka
haluzka	halus	Halus	halus	галус	Halus	halus	Halus	#VALUE!	Halus	Galus	Halus	Haus
hambalky	hammer	Hammer	hamer	молоток	martillo	marteau	kladivo	#VALUE!	kladivo	kladivo	kladivo	kladivo
hangárek	hangar	Halle	hangar	ангар	hangar	hangar	hangár	#VALUE!	hangár	hangár	hangár	kůlna
harfička	harp	Harfe	harp	арфа	arpa	harpe	harfa	#VALUE!	harfa	harfa	harfa	harfa
harlekýnek	harlequin	Harlekin	harlekijn	Арлекин	arlequín	arlequin	harlekýn	#VALUE!	harlekýn	Harlekýn	harlekýn	harlekýn
harmonička	harmonica	Mundharmonika	mondharmonica	Гармоника	harmónica	harmonica	Harmonika	Harmonika	Harmonika	Harmonický	Harmonika	Harmonika
hastrmánek	hastard	Hastard	hastaard	поездка	brecha	troupeau	Hastard	#VALUE!	Hastard	výlet	mezera	stádo
havránek	Havránek	Havránek	Havránek	Хавранек	Havránek	Havránek	Havránek	#VALUE!	Havránek	Havyranek	Havánek	Havránek
havířek	miner	Bergmann	mijnwerker	майнер	minero	mineur	horník	#VALUE!	horník	Horník	horník	Méně důležitý
hedvábíčko	silk	Seide	zijde	шелк	seda	soie	hedvábí	#VALUE!	hedvábí	hedvábí	hedvábí	hedvábí
hejnko	flock	Herde	kudde	стадо	rebaño	troupeau	stádo	#VALUE!	stádo	stádo	stádo	stádo
helikoptérka	helicopter	Hubschrauber	helikopter	вертолет	helicóptero	hélicoptère	helikoptéra	helikoptéra	helikoptéra	helikoptéra	helikoptéra	helikoptéra
heslíčko	hem	Saum	zoom	подол	dobladillo	ourlet	lem	#VALUE!	Zvětšení	Podol	lem	lem
hezounek	niche	Nische	niche	ниша	nicho	niche	výklenek	#VALUE!	výklenek	výklenek	výklenek	výklenek
hiphoperka	hiphophel	Hiphophel	hiphofel	хипгофел	hiphofel	hiphophel	Hiphophel	#VALUE!	Hiphofel	Hiphofel	Hyphofel	Hiphophel
hladinka	surface	auftauchen	oppervlak	поверхность	superficie	surface	povrch	Vyskakovat	povrch	povrch	povrch	povrch
hlásek	voice	Stimme	stem	голос	voz	voix	hlas	#VALUE!	hlas	hlas	hlas	hlas
rozhlásek	vocational	beruflich	beroeps-	Профессиональный	profesional	professionnel	profesní	#VALUE!	profesionální	Profesionální	profesionální	profesionální
hlaváček	head	Kopf	hoofd	глава	cabeza	tête	hlava	#VALUE!	hlava	kapitola	hlava	hlava
hlavnička	head	Kopf	hoofd	глава	cabeza	tête	hlava	#VALUE!	hlava	kapitola	hlava	hlava
hlavěnka	head	Kopf	hoofd	глава	cabeza	tête	hlava	#VALUE!	hlava	kapitola	hlava	hlava
hlávka	head	Kopf	hoofd	глава	cabeza	tête	hlava	#VALUE!	hlava	kapitola	hlava	hlava
škarohlídek	ugl	UGL	ugl	UGL	flojo	ugl	UGL	#VALUE!	UGL	UGL	volný	UGL
hlevíček	shift	Wechsel	verschuiving	сдвиг	cambio	décalage	posun	#VALUE!	posun	posun	změna	mezera
hložinka	haw	Haw	havik	ястребиной	baya de espino	aubépine	Haw	#VALUE!	jestřáb	jestřáb	Haw	hloh
hloupůstka	stupid	dumm	dom	глупый	tonto	stupide	hloupý	#VALUE!	hloupý	hloupý	blázen	němý
hlupáček	silly	dumm	gek	глупый	tonto	idiot	hloupý	#VALUE!	šílený	hloupý	blázen	idiot
hlubinka	depth	Tiefe	diepte	глубина	profundidad	profondeur	hloubka	#VALUE!	hloubka	hloubka	hloubka	hloubka
vyhlídečka	viewpoint	Standpunkt	gezichtspunt	смотровая площадка	punto de vista	point de vue	hledisko	pozice	úhel pohledu	hledisko	úhel pohledu	úhel pohledu
vyhlídčička	sightsee	Sightsee	sightseee	sightsee	turismo	faire un tourisme	památka	#VALUE!	prohlížeč	Památka	prohlížení památek	Udělejte turistiku
rozhlednička	lookout tower	Aussichtsturm	uitkijktoren	смотровой башни	torre de observación	tour de guet	Lookout Tower	Vyhlídková věž	strážní věž	vyhlídková věž	Vyhlídková věž	Strážní věž
hlinka	clay	Ton	klei	глина	arcilla	argile	jíl	#VALUE!	jíl	jíl	jíl	jíl
hliník	aluminium	Aluminium	aluminium	алюминий	aluminio	aluminium	hliník	#VALUE!	hliník	hliník	hliník	hliník
hlízenka	tuber	Knolle	knol	клубень	tubérculo	tubercule	hlíza	#VALUE!	hlíza	hlíza	hlíza	hlíza
hlízka	tuber	Knolle	knol	клубень	tubérculo	tubercule	hlíza	#VALUE!	hlíza	hlíza	hlíza	hlíza
hnutíčko	movement	Bewegung	beweging	движение	movimienot	mouvement	hnutí	#VALUE!	hnutí	provoz	hnutí	hnutí
záhybek	bell	Glocke	klok	колокол	campana	cloche	zvonek	#VALUE!	hodiny	zvonek	zvonek	Zvonek
záhybeček	beam	Strahl	straal	луч	haz	rayonner	paprsek	#VALUE!	Paprsek	Paprsek	udělat	lesk
pohnutka	motive	Motiv	motief	мотив	motivo	motif	motiv	#VALUE!	motiv	Motiv	důvod	vzor
hnátek	poverty	Armut	armoede	бедность	pobreza	la pauvreté	chudoba	#VALUE!	chudoba	chudoba	chudoba	chudoba
výhonek	sprout	sprießen	spruit	ростка	brote	germer	výhonek	#VALUE!	výhonek	výhonek	nákaza	klíčit
výhoneček	shoot	schießen	schieten	стрелять	disparar	tirer	střílet	#VALUE!	střílet	oheň	střílet	SEM
záhonek	flower bed	Blumenbeet	bloemenbed	клумба	cama de flores	parterre de fleurs	záhon	záhon	záhon	záhon	záhon	záhon
záhoneček	flower bed	Blumenbeet	bloemenbed	клумба	cama de flores	parterre de fleurs	záhon	záhon	záhon	záhon	záhon	záhon
záhůnek	decoration	Dekoration	decoratie	украшение	decoración	décoration	dekorace	dekorace	dekorace	dekorace	výzdoba	dekorace
hnízdečko	nest	Nest	nest	гнездо	nido	nid	hnízdo	#VALUE!	hnízdo	hnízdo	hnízdo	hnízdo
hnojivka	fertilizer	Dünger	kunstmest	удобрение	fertilizante	engrais	hnojivo	#VALUE!	hnojivo	hnojivo	hnojivo	hnojivo
hoblík	plane	Flugzeug	vlak	самолет	plano	avion	letadlo	#VALUE!	že jo	letoun	byt	letadlo
hoblinka	shavings	Rasuren	schaarste	стружка	virutas	copeaux	Hobliny	#VALUE!	nedostatek	Hobliny	Hobliny	Hobliny
hošek	Hošek	Hošek	Hošek	Хошек	Hoquete	Hošek	Hošek	#VALUE!	Hošek	Hoshki	Hoquet	Hošek
hodinka	hour	Stunde	uur	час	hora	heure	hodina	#VALUE!	hodina	hodina	hodina	hodina
hodinky	watches	Uhren	horloges	часы	relojes	montres	hodinky	#VALUE!	hodinky	hodinky	Hodinky	hodinky
hoďka	throw	Wurf	gooien	бросать	lanzar	jeter	házet	#VALUE!	házet	házet	házet	hodit
nehodovka	accident	Unfall	ongeluk	несчастный случай	accidente	accident	nehoda	#VALUE!	nehoda	nehoda	nehoda	nehoda
pohodička	cool	Kalt	koel	Круто	Frío	cool	chladný	#VALUE!	chladný	Chladný	Studený	chladný
pohodlíčko	convenience	Bequemlichkeit	gemak	удобство	conveniencia	commodité	pohodlí	Pohodlí	ulehčit	pohodlí	pohodlí	pohodlí
výhodička	advantage	Vorteil	voordeel	преимущество	ventaja	avantage	výhoda	#VALUE!	výhoda	výhoda	výhoda	výhoda
holička	barber	Barbier	kapper	парикмахер	Barbero	coiffeur	holič	#VALUE!	Holič	kadeřník	Holič	kadeřník
holoubek	pigeon	Taube	duif	голубь	paloma	Pigeon	holub	#VALUE!	holub	holub	holubice	Holub
holoubátko	pigeon	Taube	duif	голубь	paloma	Pigeon	holub	#VALUE!	holub	holub	holubice	Holub
holubička	dove	Taube	duif	голубь	paloma	Colombe	holubice	#VALUE!	holub	holub	holubice	Holubice
holinka	boot	Stiefel	laars	ботинок	bota	botte	bota	#VALUE!	bota	bota	bota	bota
holčička	little girl	kleines Mädchen	kleine meid	малышка	niñita	petite fille	malá holka	#VALUE!	malá holka	dítě	malá holka	malá holka
homolka	homolka	Homolka	homolka	гомолка	homolka	homolka	homolka	#VALUE!	Homolka	Homolka	Homolka	homolka
horka	heat	Wärme	warmte	нагревать	calor	Chauffer	teplo	#VALUE!	teplo	teplo	teplo	Teplo
pahoreček	hill	hügel	heuvel	холм	Cerro	colline	kopec	#VALUE!	kopec	Kopec	ZAVŘENO	kopec
pohoříčko	mountain	Berg	berg	гора	montaña	Montagne	hora	#VALUE!	hora	hora	hora	Hora
hornička	upper	Oberer, höher	bovenste	верхний	superior	plus haut	horní	Horní, vyšší	horní	horní	vyšší	horní
hororek	horror	Grusel	verschrikking	ужастик	horror	horreur	hrůza	#VALUE!	hrůza	hrůza	hrůza	hrůza
hospodyňka	housewife	Hausfrau	huisvrouw	домохозяйка	ama de casa	femme au foyer	žena v domácnosti	#VALUE!	žena v domácnosti	žena v domácnosti	žena v domácnosti	žena v domácnosti
hospodářstvíčko	economy	Wirtschaft	economie	экономика	economía	économie	ekonomika	Podnikání	ekonomika	ekonomika	ekonomika	ekonomika
hospůdka	tavern	Taverne	taverne	таверна	taberna	taverne	hospoda	#VALUE!	hospoda	hospoda	hospoda	hospoda
hostinka	host	Gastgeber	gastheer	хозяин	anfitrión	héberger	hostitel	#VALUE!	hostitel	mistr	hostitel	ubytovat
hotýlek	hotel	Hotel	hotel	отель	hotel	Hôtel	hotel	#VALUE!	hotel	hotel	hotel	Hotel
hubička	kiss	Kuss	kus	целовать	Beso	embrasser	polibek	#VALUE!	polibek	polibek	Polibek	objetí
houfek	flock	Herde	kudde	стадо	rebaño	troupeau	stádo	#VALUE!	stádo	stádo	stádo	stádo
huňáček	bunny	Hase	konijn	кролик	conejito	lapin	Králíček	#VALUE!	králičí	králičí	malý králíček	králičí
houstička	horn	Horn	Hoorn	рог	bocina	klaxon	roh	#VALUE!	Roh	roh	roh	troubit
housličky	violin	Violine	viool	скрипка	violín	violon	housle	#VALUE!	housle	housle	housle	housle
hudeček	Hudeček	Hudeček	Hudeček	Худеек	Hudeček	Hudeček	Hudečk	#VALUE!	Hudečk	Odkazy	Hudečk	Hudečk
houžvička	bump	stoßen	buil	удар	bulto	cogner	narazit	#VALUE!	narazit	udeřil	balík	narazit
hovádko	tissue	Gewebe	zakdoek	салфетка	tejido	tissu	tkáň	#VALUE!	kapesník	ubrousek	pletení	tkáň
hovínko	poop	Kacke	poep	какать	caca	caca	kadit	#VALUE!	hovínko	kadit	kadit	hovínko
pohovička	softe	Weiche	softe	Softe	suave	softe	Softe	#VALUE!	Softe	Softe	hladký	Softe
hořáček	pilot burner	Pilotbrenner	pilootbrander	пилотная горелка	quemador de piloto	brûleur de pilote	hořáček	Hořáček	hořáček	Hořáček	Hořáček	hořáček
hořeček	mast	Mast	mast	мачта	mástil	mât	stožár	#VALUE!	stožár	stožár	stožár	stožár
hrabička	rack	Gestell	rek	стойка	estante	étagère	nosič	#VALUE!	protáhnout se	nosič	police	police
hrabošík	vast	groß	uitgestrekt	огромный	enorme	vaste	obrovský	#VALUE!	natažený	obrovský	obrovský	obrovský
hrobařík	graft	Transplantat	enten	поступок	injerto	greffer	štěp	štěp	štěp	Akt	štěp	štěp
hrabičky	rakes	Rakes	rakingen	грабеж	rastrillo	râteaux	hrábě	#VALUE!	Cesty	loupež	hrábě	hrábě
hřebínek	comb	Kamm	kam	гребень	peine	peigne	Hřeben	#VALUE!	Hřeben	hřeben	hřeben na vlasy	Hřeben
pohrabáček	scraper	Schaber	schraper	скребок	raspador	grattoir	škrabka	#VALUE!	škrabka	škrabka	škrabka	škrabka
hrádek	castle	Schloss	kasteel	замок	castillo	Château	hrad	#VALUE!	hrad	zámek	hrad	hrad
hrádeček	castle	Schloss	kasteel	замок	castillo	Château	hrad	#VALUE!	hrad	zámek	hrad	hrad
ohrádka	playpen	Laufstall	playpen	детский манеж	corralito	parc de jeu	ohrádka	#VALUE!	hrát si	ohrádka	ohrádka	Herní park
přehrádka	tap	klopfen	tik	нажмите	tocar	robinet	klepněte	#VALUE!	klepněte	Klikněte	hrát si	kohoutek
výhradička	reservation	Reservierung	reservering	бронирование	reserva	réservation	rezervace	rezervace	rezervovat	Rezervace	rezervace	rezervace
zahrádka	allotment	Zuteilung	toewijzing	выделение	asignación	attribution	přidělování	#VALUE!	přidělení	výběr	úkol	přiřazení
zahrádečka	garden	Garten	tuin	сад	jardín	jardin	zahrada	#VALUE!	zahrada	zahrada	yard	zahrada
zahradníček	garden	Garten	tuin	сад	jardín	jardin	zahrada	#VALUE!	zahrada	zahrada	yard	zahrada
hranička	border	Grenze	grens	граница	borde	frontière	okraj	#VALUE!	okraj	hranice	okraj	okraj
hranolek	fringe	Randbereich	zoom	бахрома	franja	la frange	Fringe	Oblast okraje	Zvětšení	Fringe	Proužek	Fringe
hrazdička	bar	Bar	bar	бар	bar	bar	bar	#VALUE!	bar	bar	bar	bar
hrbáček	hump	Buckel	bult	горб	joroba	bosse	hrb	#VALUE!	narazit	hrb	hrb	narazit
hrbolek	bump	stoßen	buil	удар	bulto	cogner	narazit	#VALUE!	narazit	udeřil	balík	narazit
hrdlička	turtledove	Turteltaube	tortelduif	окуняется	tórtola	tourterelle	hrdlička	hrdlička	Lovebird	To se vrhne	hrdlička	slapy
hrdélko	throat	Kehle	keel	горло	garganta	gorge	hrdlo	#VALUE!	hrdlo	hrdlo	hrdlo	hrdlo
hrdýlko	toss	werfen	toss	жеребьевка	sacudida	lancer	přehazovat	#VALUE!	přehazovat	kreslit	otřást	házet
hrnek	cup	Tasse	beker	чашка	taza	Coupe	pohár	#VALUE!	pohár	pohár	Miska	Useknutý
hrneček	Cup	Tasse	Beker	Чашка	Taza	Tasse	Pohár	#VALUE!	Pohár	Pohár	Miska	Pohár
hrnéček	Cup	Tasse	Beker	Чашка	Taza	Tasse	Pohár	#VALUE!	Pohár	Pohár	Miska	Pohár
hrníček	mug	Becher	mok	кружка	tazón	tasse	džbánek	#VALUE!	džbánek	Pohár	Miska	pohár
kafáček	kafáček	Kafáček	Kafáček	Кафачек	kafáček	Kafáček	Kafáčk	#VALUE!	Kafáčk	Kafashchek	Kafáčk	Kafáčk
kameňáček	stone	Stein	steen	камень	piedra	pierre	kámen	#VALUE!	kámen	kámen	kámen	Pierre
úhrnek	total	gesamt	totaal	общий	total	total	celkový	#VALUE!	celkový	Všeobecné	celkový	celkový
hrošík	hippophop	Hippophop	hippofop	Гиппофоп	hipopófolo	hippophop	Hippophop	#VALUE!	Hippofop	Hippofof	Hypoopofolo	Hippophop
hromádka	pile	Haufen	stapel	куча	montón	pile	hromada	#VALUE!	hromada	Parta	hodně	hromada
hrotek	spike	Spitze	piek	шип	pico	pic	špice	#VALUE!	vrchol	trn	vrchol	vrchol
hrudka	pat	klopfen	kletsen	похлопать	palmadita	tapoter	pat	#VALUE!	chvění	tleskat	pat	klepněte
hrozinka	currant	Johannisbeere	bes	смородинка	grosella	groseille	rybíz	rybíz	bobule	Rybíz	rybíz	rybíz
hrstka	handful	Hand voll	handvol	горстка	puñado	poignée	hrst	#VALUE!	hrst	Zručný	hrst	Rukojeť
hrstička	handful	Hand voll	handvol	горстка	puñado	poignée	hrst	#VALUE!	hrst	Zručný	hrst	Rukojeť
hrudníček	stern	Stern	streng	корм	popa	arrière	záď	#VALUE!	přísný	krmit	Záď	zadní
hruštička	pear	Birne	Peer	груша	pera	poire	hruška	#VALUE!	Hruška	hruška	hruška	Hruška
hrachovinka	pea	Erbse	erwt	горох	guisante	pois	hrášek	#VALUE!	hrášek	Hrách	hrášek	hrášek
hrášek	pea	Erbse	erwt	горох	guisante	pois	hrášek	#VALUE!	hrášek	Hrách	hrášek	hrášek
zpěvohříčka	singing	Singen	zang	пение	cantando	en chantant	zpěv	#VALUE!	zpěv	zpěv	zpěv	zpěv
hřišťátko	pitch	Tonhöhe	toonhoogte	подача	tono	terrain	Pitch	#VALUE!	Pitch	směny	tón	přízemní
kazeťáček	tape	Band	plakband	лента	cinta	ruban	páska	#VALUE!	lepicí páska	stuha	čelenka	stuha
výhřička	heating	Heizung	verwarming	обогрев	calefacción	chauffage	topení	#VALUE!	topení	topení	topení	ohřívač
hrázka	dam	Damm	dam	плотина	presa	endiguer	přehrada	#VALUE!	přehrada	přehrada	kořist	zastavit
hrobeček	tomb	Grab	graf	гробница	tumba	tombeau	hrobka	#VALUE!	hrob	hrobka	hrob	hrobka
hrozbička	threat	Drohung	bedreiging	угроза	amenaza	menace	ohrožení	#VALUE!	ohrožení	hrozba	ohrožení	ohrožuje
hroznýšek	terrible	abscheulich	verschrikkelijk	ужасный	horrible	terrible	hrozný	Školící	hrozný	hrozný	hrozný	hrozný
hubinka	spout	Tülle	tuit	носик	canalón	bec	Trr	#VALUE!	Trr	Nosik	okap	Trr
housátko	gosling	Gänschen	gansje	Гослинг	ansarino	oison	house	#VALUE!	house	House	house	house
husička	goose	Gans	gans	Гусь	ganso	oie	husa	#VALUE!	Husa	Husa	husa	husa
husárek	hussar	Husar	huzaar	Гусар	húsar	hussard	husar	#VALUE!	husar	Husar	husar	husar
huseníček	huss	Huss	huls	Гусс	enchufe	huss	Huss	#VALUE!	rukáv	Guss	Zástrčka	Huss
houštinka	thicket	Dickicht	struikgewas	заросли	matorral	fourré	houští	#VALUE!	drhnutí	houštiny	drhnutí	vyplněna
hvozdík	forest	Wald	Woud	лес	bosque	forêt	les	#VALUE!	Les	les	les	les
hvězdička	star	Stern	ster	звезда	estrella	étoile	hvězda	#VALUE!	hvězda	hvězda	hvězda	hvězda
hvězdka	stomach	Magen	maag	желудок	estómago	estomac	žaludek	#VALUE!	žaludek	žaludek	žaludek	žaludek
hvězdárnička	observatory	Observatorium	observatorium	обсерватория	observatorio	observatoire	observatoř	observatoř	observatoř	observatoř	observatoř	observatoř
pohádečka	fairy tale	Märchen	sprookje	сказка	cuento de hadas	Conte de fée	pohádka	#VALUE!	pohádka	příběh	pohádka	Pohádka
záhadička	mystery	Geheimnis	mysterie	тайна	misterio	mystère	tajemství	#VALUE!	tajemství	tajný	tajemství	tajemství
hájek	grove	Hain	bosje	рощи	arboleda	bosquet	háj	#VALUE!	chomáč	háje	háj	háj
háječek	grove	Hain	bosje	рощи	arboleda	bosquet	háj	#VALUE!	chomáč	háje	háj	háj
háček	hook	Haken	haak	крюк	gancho	accrocher	háček	#VALUE!	háček	háček	háček	zavěsit
hřbítek	back	der Rücken	rug	назад	espalda	retour	zadní	záda	zadní	zadní	zadní	vrátit se
hřbitůvek	cemetery	Friedhof	begraafplaats	кладбище	cementerio	cimetière	hřbitov	#VALUE!	hřbitov	hřbitov	hřbitov	hřbitov
hřebík	nail	Nagel	nagel	ноготь	uña	clou	nehet	#VALUE!	nehet	nehet	nehet	nehet
hřebíček	clove	Nelke	kruidnagel	гвоздика	Clavo	Clou de girofle	stroužek	#VALUE!	stroužek	karafiát	Nehet	Stroužek
hříbek	mushroom	Pilz	paddestoel	гриб	hongo	champignon	houba	#VALUE!	houba	houba	houba	houba
hříbeček	mushroom	Pilz	paddestoel	гриб	hongo	champignon	houba	#VALUE!	houba	houba	houba	houba
hromnička	gulos	Gulos	gulos	Гулос	gulos	gulos	Gulos	#VALUE!	Gulos	Hulos	Gulos	Gulos
hřebeček	hob	Kochfeld	hob	плюс	quemador	plaque	varná deska	#VALUE!	varná deska	plus	hořák	plaketa
hříbátko	foal	Fohlen	veulen	жеребенок	potro	poulain	hříbě	#VALUE!	hříbě	hříbě	hříbě	hříbě
hříšek	peccadillo	Peccadillo	pekelzonde	грешок	pecadillo	peccadille	hříšek	Pecadillo	okurka hřích	hříšek	hříšek	hříšek
hřídelka	shaft	Welle	schacht	вал	eje	arbre	Hřídel	#VALUE!	Hřídel	Hřídel	osa	strom
hřívečka	mushroom	Pilz	paddestoel	гриб	hongo	champignon	houba	#VALUE!	houba	houba	houba	houba
hůlka	wand	Zauberstab	toverstaf	палочка	varita mágica	baguette magique	hůlka	Kouzelná hůlka	hůlka	hůlka	Kouzelná hůlka	Kouzelná hůlka
hůlčička	wand	Zauberstab	toverstaf	палочка	varita mágica	baguette magique	hůlka	Kouzelná hůlka	hůlka	hůlka	Kouzelná hůlka	Kouzelná hůlka
hůrka	Hur	Hur	Hurken	Ура	Hurto	Hur	Hur	#VALUE!	Squat	hurá	Krádež	Scorp
idylka	idyll	Idylle	idylle	идиллия	idilio	idylle	idyla	#VALUE!	idyla	idyla	idyla	idyla
ikonka	icon	Symbol	icoon	значок	icono	icône	ikona	#VALUE!	ikona	ikona	ikona	ikona
iniciálka	initial	Initial	voorletter	исходный	inicial	initial	počáteční	#VALUE!	počáteční	Originál	počáteční	počáteční
intelektuálek	intellectual	intellektuell	intellectueel	интеллектуал	intelectual	intellectuel	intelektuální	intelektuálně	intelektuální	intelektuální	intelektuální	intelektuální
internacionálka	international	International	Internationale	Международный	internacional	international	mezinárodní	Mezinárodní	Mezinárodní	Mezinárodní	mezinárodní	mezinárodní
intrikánek	intrigue	Intrigen	intrigeren	интрига	intriga	intrigue	intrika	#VALUE!	intrika	intrika	intrika	spiknutí
inzerátek	advertisement	Anzeige	advertentie	рекламное объявление	anuncio publicitario	publicité	reklama	#VALUE!	reklama	reklama	komerční	reklamní
inženýrek	engineer	Techniker	ingenieur	инженер	ingeniero	ingénieur	inženýr	#VALUE!	inženýr	inženýr	inženýr	inženýr
irbisek	Irbis	Irbis	Irbis	Ирбис	Irbis	Irbis	Irbis	#VALUE!	Irbis	Irbis	Irbis	Nezákonnost
jabloňka	apple	Apfel	appel	яблоко	manzana	Pomme	jablko	#VALUE!	Jablko	Jablko	jablko	Jablko
jablůňka	apple	Apfel	appel	яблоко	manzana	Pomme	jablko	#VALUE!	Jablko	Jablko	jablko	Jablko
jablíčko	apple	Apfel	appel	яблоко	manzana	Pomme	jablko	#VALUE!	Jablko	Jablko	jablko	Jablko
jahodka	strawberry	Erdbeere	aardbei	клубника	fresa	fraise	jahoda	#VALUE!	jahoda	Jahoda	jahoda	jahoda
jahůdka	strawberry	Erdbeere	aardbei	клубника	fresa	fraise	jahoda	#VALUE!	jahoda	Jahoda	jahoda	jahoda
jalovička	juniper	Wacholder	jeneverbes	можжевельник	enebro	genévrier	jalovec	#VALUE!	jalovec	jalovec	jalovec	jalovec
jarmárka	fair	Messe	eerlijk	справедливый	justa	équitable	veletrh	#VALUE!	upřímně řečeno	veletrh	veletrh	veletrh
jarka	Jarka	Jarka	Jarka	Ярка	Jarka	Jarka	Jarka	#VALUE!	Jarka	Jasný	Jarka	Jarka
jatelinka	jatelon	Jatelon	jatelon	Джателон	jatelón	jatelon	Jatelone	#VALUE!	Jatelone	Jatelone	Jatelone	Jatelone
javůrek	javůrek	Javůrek	Javůrek	Javůrek	javůrek	javůrek	Javůrek	#VALUE!	Javůrek	Javůrek	Javůrek	Javůrek
jazýček	tongue	Zunge	tong	язык	lengua	langue	jazyk	#VALUE!	jazyk	Jazyk	Jazyk	Jazyk
jedlička	fir	Tanne	Spar	пихта	abeto	sapin	jedle	#VALUE!	Smrk	jedle	jedle	jedle
pojednáníčko	treaty	Vertrag	verdrag	договор	tratado	traité	dohoda	#VALUE!	dohoda	Dohoda	dohoda	dohoda
jednotka	unit	Einheit	eenheid	Ед. изм	unidad	unité	jednotka	#VALUE!	jednotka	Jednotky. Izm	Jednotka	jednota
jehelníček	needle	Nadel	naald-	иголка	aguja	aiguille	jehla	#VALUE!	jehla	jehla	jehla	jehla
jehlánek	needle	Nadel	naald-	иголка	aguja	aiguille	jehla	#VALUE!	jehla	jehla	jehla	jehla
jehlička	needle	Nadel	naald-	иголка	aguja	aiguille	jehla	#VALUE!	jehla	jehla	jehla	jehla
jehnička	lamb	Lamm	lam	ягненок	cordero	agneau	jehněčí	#VALUE!	jehněčí	jehněčí	jehněčí	jehněčí
jehňátko	lamb	Lamm	lam	ягненок	cordero	agneau	jehněčí	#VALUE!	jehněčí	jehněčí	jehněčí	jehněčí
jelínek	deer	Hirsch	hert	олень	ciervo	cerf	Jelen	#VALUE!	Jelen	Jelen	Jelen	jelen
jelimánek	Jeliman	Jeliman	Jeliman	Джелиман	Jeliman	Jeliman	Jeliman	#VALUE!	Jeliman	Jeliman	Jeliman	Jeliman
jelítko	dear	Liebling	lief	Уважаемые	Estimado	chère	milý	#VALUE!	bonbón	Milý	Milý	Milý
jemnůstka	fine	fein	prima	отлично	multa	bien	pokuta	#VALUE!	pokuta	Skvělý	pokuta	dobrý
jeskyňka	cave	Höhle	grot	пещера	cueva	la grotte	jeskyně	#VALUE!	jeskyně	jeskyně	jeskyně	Jeskyně
jesličky	crib	Krippe	krib	детская кроватка	cuna	lit de bébé	betlém	#VALUE!	betlém	dětská postýlka	kolébka	dětská postýlka
jespáček	jespace	Geschlecht	jespace	Jespace	jesgo	jespace	Jespace	Rod	Jespace	Jespace	Jesgo	Jespace
jetelinka	clover	Kleeblatt	Klaver	клевер	trébol	trèfle	jetel	#VALUE!	Jetel	jetel	jetel	Jetel
jetýlek	jet	Jet	Jet	самолет	chorro	jet	proud	#VALUE!	Proud	letoun	proud	proud
jevišťátko	stage	Bühne	fase	сцена	escenario	organiser	etapa	#VALUE!	fáze	scéna	scenérie	uspořádat
jezírko	pond	Teich	vijver	пруд	estanque	étang	rybník	#VALUE!	rybník	rybník	rybník	rybník
jezevčátko	dachshund	Dackel	kuil	такса	perro tejonero	teckel	jezevčík	#VALUE!	jáma	jezevčík	jezevčík	jezevčík
jezevčík	dachshund	Dackel	kuil	такса	perro tejonero	teckel	jezevčík	#VALUE!	jáma	jezevčík	jezevčík	jezevčík
ječmínek	barley	Gerste	gerst	ячмень	cebada	orge	ječmen	#VALUE!	ječmen	ječmen	ječmen	ječmen
jeřabinka	rowan	Eberesche	lijsterbes	Роуэн	serbal	sorbier des oiseleurs	jeřáb	#VALUE!	jeřáb	Rowen	jeřáb	Sorbier ptáků
ještěřička	lizard	Eidechse	hagedis	ящерица	lagarto	lézard	ještěrka	#VALUE!	ještěrka	ještěrka	aligátor	ještěrka
ježeček	hedgehog	Igel	egel	еж	erizo	hérisson	ježek	#VALUE!	ježek	ježek	mořský ježko	ježek
jiskérka	sister	Schwester	zus	сестра	hermana	sœur	sestra	#VALUE!	sestra	sestra	sestra	sestra
jiskřička	spark	Funke	vonk	искра	Chispa- chispear	étincelle	jiskra	#VALUE!	jiskra	jiskra	Spark- jiskření	jiskra
jizbička	jizb	Jizb	jizb	Джизб	jizb	jizb	Jizb	#VALUE!	Jizb	Jizb	Jizb	Jizb
jizvička	scar	Narbe	litteken	шрам	cicatriz	cicatrice	jizva	#VALUE!	jizva	jizva	jizva	jizva
jiřinka	Jiřinka	Jiřinka	Jiřinka	Jiřinka	Jiřinka	Jiřinka	Jiririnka	#VALUE!	Jiririnka	Jiririnka	Jiririnka	Jiririnka
nájemníček	lease	mieten	huren	арендовать	arrendar	louer	pronájem	#VALUE!	pronájem	Pronajmout si	k pronájmu	pronajmout
snímeček	picture	Bild	afbeelding	картина	imagen	image	obrázek	#VALUE!	obraz	malování	obraz	obraz
zajateček	prisoner	Häftling	gevangene	в плену	prisionero	prisonnier	vězeň	#VALUE!	vězeň	v zajetí	vězeň	vězeň
zájmeček	interest	Interesse	interesse 	интерес	interés	intérêt	zájem	#VALUE!	zájem	zájem	zájem	zájem
zájmiček	hog	Schwein	varken	свинья	cerdo	porc	prase	#VALUE!	prase	prase	vepřové maso	vepřové maso
jolka	Jolka	Jolka	Jolka	Жолька	Jolka	Jolka	Jolka	#VALUE!	Jolka	Bydlení	Jolka	Jolka
